"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Azerbaijan","AZE","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.7178914620993","54.0815677704158","50.8358403782056","49.0938873785641","48.5317470346408","49.2402338763743","48.7636430397033","47.9003722619991","47.3724347881423","45.8751888139594","42.6669138367227","39.5221754404676","41.8228901362789","43.1503543028444","42.6407972645571","43.2570225414912","41.988886581998","44.4165210796671","43.9477942044141","44.1613191689607","43.687222053628","43.709606680508","43.3261326047496","42.4726873956826","41.8869807851736","41.936707870779","42.0512184853297","41.8748862731058","40.6667003129101","40.6496921281969","40.5636624789419","40.5163528348722","39.725167668573","39.2295770703016","38.7148410418936",
"Burundi","BDI","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.90712977009","95.999095304482","96.0934014218484","96.2281266083376","96.597905781487","96.8362049422748","96.8332868296147","96.76169766293","96.7378880760779","96.6130344288195","96.4708949827567","96.2443334374447","96.2693243111494","96.1554759060135","95.9521403216737","95.7183466884452","95.578468684964","95.3563293799714","95.1783972068422","94.9740007715712","94.7108691060155","94.4114485676802","94.1259719248804","93.8676854986214","93.9353558336281","93.9208644340179","93.9233662291317","93.3150236685269","92.5687164875853","92.4134610846274","92.7325973628813","92.8239292334933","92.7964176887395","92.933441602642","93.1340157535905",
"Belgium","BEL","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.08312814290614","2.03188040648358","1.98010225047096","2.17054904712483","2.08035384795202","2.14988060580289","2.08332801242284","1.57020165476453","1.99300319187044","1.19418891920712","0.947141677466374","1.09291425228438","1.05941864473569","1.57373895989525","1.48294293911105","1.28011465179696","1.30740946212698","1.03358444406059","0.988662527262943","0.891794314694709","0.887207495434063","0.694386253322141","0.841316294064553","0.838818583771357","0.729346446625807","0.754973332173692","0.699058545456909","0.563869824015521","0.826026329369654","0.701997047580735","0.60882946961906","0.579295231885974","0.685973260973356","0.646921497482632","0.624607856760865",
"Benin","BEN","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.0254454825798","36.9957033709869","36.9605689781404","37.1560712700274","36.7773938051558","36.7893294381336","36.6199834752923","36.6682300371798","36.3936425639802","36.1613123824622","36.0344440184589","36.0193524144876","36.0029504753317","35.9679018303221","36.1928308729808","36.18974223306","35.8308596671653","35.6671756516021","35.9280508437812","36.0940872110124","36.0616205683145","34.3397221363227","32.409197156403","32.4912919094476","33.4436795701576","34.0747062013498","34.2766388222525","34.2217603220438","34.4854666104414","35.7428904454456","36.3187603693455","35.6946586350974","34.9223403174265","34.2430520302243","33.5646799509581",
"Burkina Faso","BFA","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.1297788102464","83.2513417582186","83.1436754674746","83.2857209123405","82.4769253916041","81.2304956486475","80.2162914671828","79.120076071817","77.8845351834219","77.1496044577513","76.0294185987934","75.0857475661511","73.7239239189822","72.6260781450114","71.1262405419486","69.6532329670841","68.681309567096","67.6206368955273","66.675684031535","65.0714715827505","63.6366237602768","62.253789695056","60.9406215213119","59.8506137876978","58.7527696658175","57.3202259539882","55.8279480696132","54.2931700632134","52.8645325016772","54.2395876766844","55.1341092589342","54.9614587993206","54.6866968592716","54.2227619781623","53.8370409282705",
"Bangladesh","BGD","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.9150612470206","80.2196905667173","79.4430619983799","78.1025407298054","76.0232443405018","73.4733764333009","74.2122507179759","74.9669532613213","75.232084517933","75.6471533082527","71.5875138697229","66.9553368569623","61.6530581880076","60.0878724855763","58.3255440380596","57.3570456050527","56.965903530146","56.4995438363949","56.1168088041192","55.6120024273705","54.9058896995024","54.148549106632","53.4719417454072","56.9949193825216","60.122727553489","63.0872996124255","59.5151817550646","61.5288557574441","63.2701670899894","66.5239843670587","69.318337483757","70.8984530500263","74.969345794146","74.9488907948528","74.6705382859257",
"Bulgaria","BGR","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.9842669369807","7.44158709019824","8.04237437987741","8.60503995728553","9.31688658767844","9.98179286708793","10.2579839877101","11.0261631089217","10.708139632157","10.5620181081158","7.12309988173837","8.1363995271475","8.33586812175887","8.29162340307138","6.83751180474731","6.11579639724645","5.65451222879541","6.03189767098915","5.10682661035743","5.0236064950306","4.88470482195333","4.40499342575604","4.22486955858293","5.04021950000393","4.21775541341922","4.44945806557389","4.61081247934772","4.45033764685746","4.66326475701768","4.14831402704253","4.2083572412811","4.53613460676203","4.00246084784321","2.78741780875365","2.68049840292366",
"Bahrain","BHR","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.20208171852508","0.185470598991667","0.170143512353899","0.157066835454908","0.144544019213236","0.13326846191272","0.124071961737808","0.115593792044873","0.107801214560351","0.100559040087265","0.0923111203068549","0.0870397771781704","0.0815478304331242","0.0752787104637408","0.0702755884229077","0.0657914117658611","0.0616197969225823","0.0569721731628509","0.0528100919341882","0.0499845118414012","0.049675284354477","0.0500242871539081","0.0505382671605109","0.0513854559646156","0.0516108171298168","0.0489514715658428","0.0466994153706101","0.0451819600755771","0.0435236249813683","0.0458664418797803","0.0450912801770426","0.0438406672774383","0.0419575084868597","0.0402256872770385","0.0387338673442511",
"Bahamas, The","BHS","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4148973198747","1.40389341726046","1.37047891827083","1.58433985839234","1.0359945703899","1.1965380795485","1.92823583465489","1.20554035567715","0.910931174089069","1.11719869794109","1.36616979909268","1.62846015108346","0.574162679425837","0.430173214717524","0.33896615323264","0.478750308776305","0.243605359317905","0.742462026751304","0.533370762860552","0.968612347501211","1.69589779146822","1.27619883682651","0.968799131955978","0.711808334667307","0.525183041736605","0.386406726568296","0.281952126878457","0.207971282869434","0.151242146144726","0.184674122797917","0.183608249469025","0.170924629511774","0.165583548473248","0.16017557366749","0.154949530724278",
"Bosnia and Herzegovina","BIH","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.3691746775157","28.6379739476409","28.2182385346784","28.1744861859838","28.0681054788813","28.1896558748992","28.0891151732293","27.6396333411015","27.2705866912681","26.8105567411329","26.1170036492177","25.5954766731912","25.104178998461","24.6929166783938","24.2290830617785","23.6777598611027","23.0431328758603","23.9354919985341","27.3460244642453","24.3742917340836","22.5666345177341","24.2784529416285","20.7391563933157","18.9387270409801","18.2737113771597","19.268279077551","21.5168276152534","17.4619550113272","21.973313310626","15.1484358304513","24.170283170618","23.4270253395078","22.7488910501222","22.0991863139563","21.5519774045641",
